Mean_Intensity,Edge_Density,Motion_Mag,Entropy,Temp_C,Vib_RMS,Motion_Flag,Class_Label,Importance_Score,Decision_Label
0.646,0.367,0.289,2.339,28.23,0.615,0,2,0.93,5
0.255,0.499,0.062,2.377,26.64,0.395,0,4,0.308,5
0.498,0.406,0.858,3.787,35.49,0.445,0,4,0.3,2
0.287,0.159,0.314,1.567,28.61,0.238,0,3,0.47,4
0.412,0.011,0.196,4.403,32.39,0.337,1,0,0.429,3
0.428,0.495,0.516,3.536,34.28,0.568,1,3,0.962,1
0.211,0.641,0.91,5.1,29.0,0.621,1,2,0.165,4
0.682,0.528,0.044,2.515,32.35,0.31,0,1,0.689,6
0.565,0.305,0.766,5.419,27.08,0.553,0,3,0.107,3
0.664,0.588,0.572,3.506,35.7,0.206,1,4,0.277,2
0.637,0.272,0.425,5.375,26.58,0.666,1,0,0.722,2
0.459,0.346,0.744,0.927,30.38,0.488,0,2,0.804,0
0.653,0.315,0.966,4.221,31.37,0.62,0,0,0.469,0
0.153,0.296,0.229,4.638,33.9,0.382,1,0,0.789,2
0.218,0.506,0.144,1.05,27.21,0.183,1,0,0.935,0
0.127,0.347,0.913,3.521,30.41,0.343,0,4,0.936,0
0.295,0.213,0.669,4.569,29.0,0.305,0,1,0.342,2
0.333,0.175,0.438,3.437,29.12,0.266,0,3,0.312,4
0.263,0.034,0.573,1.1,33.79,0.17,0,4,0.726,5
0.597,0.383,0.746,4.059,26.05,0.607,1,1,0.654,6
0.314,0.157,0.773,1.085,33.49,0.069,1,2,0.392,2
0.269,0.105,0.92,4.642,34.1,0.71,0,3,0.229,6
0.426,0.428,0.427,1.002,35.01,0.14,0,1,0.618,0
0.185,0.446,0.293,1.446,32.27,0.784,1,2,0.43,6
0.581,0.491,0.64,2.093,29.33,0.791,1,3,0.132,4
0.145,0.332,0.416,3.777,30.27,0.319,0,2,0.639,0
0.692,0.582,0.595,5.389,35.7,0.79,1,4,0.698,1
0.563,0.609,0.42,1.354,34.81,0.695,1,2,0.364,0
0.219,0.527,0.153,1.471,30.64,0.066,1,0,0.832,3
0.103,0.417,0.469,2.534,35.43,0.758,1,4,0.074,3
0.589,0.204,0.691,4.73,34.23,0.034,1,2,0.496,5
0.524,0.639,0.799,2.996,35.01,0.146,0,4,0.956,5
0.537,0.185,0.493,2.312,32.83,0.468,0,3,0.19,5
0.563,0.14,0.165,3.438,34.58,0.065,0,0,0.172,5
0.144,0.293,0.415,2.024,34.92,0.129,1,0,0.379,5
0.315,0.046,0.786,2.685,26.92,0.763,0,2,0.268,0
0.17,0.636,0.413,2.363,35.65,0.796,0,3,0.222,0
0.618,0.387,0.697,4.579,29.34,0.639,1,4,0.95,1
0.474,0.366,0.507,5.144,30.4,0.412,0,2,0.345,4
0.299,0.43,0.241,4.37,33.92,0.72,1,1,0.06,4
0.138,0.328,0.796,2.864,32.65,0.09,0,2,0.9,1
0.287,0.031,0.084,3.17,34.93,0.754,1,1,0.448,2
0.295,0.402,0.525,1.388,30.01,0.281,0,0,0.736,0
0.538,0.468,0.209,4.31,29.73,0.689,0,2,0.367,0
0.483,0.277,0.067,3.603,26.32,0.535,1,2,0.935,3
0.632,0.495,0.503,5.041,30.63,0.768,0,0,0.288,3
0.383,0.155,0.5,1.743,33.24,0.692,1,4,0.663,2
0.172,0.152,0.707,4.371,29.01,0.71,0,2,0.824,4
0.528,0.113,0.745,4.018,30.63,0.505,0,3,0.238,4
0.556,0.248,0.728,2.049,28.19,0.667,0,0,0.802,6
0.437,0.552,0.41,3.937,33.73,0.606,1,4,0.792,5
0.563,0.54,0.632,5.145,26.61,0.129,0,0,0.964,5
0.396,0.255,0.577,5.117,33.05,0.519,0,0,0.923,4
0.414,0.387,0.422,4.182,29.79,0.119,0,4,0.389,0
0.357,0.471,0.597,1.026,26.42,0.696,0,4,0.591,3
0.115,0.164,0.947,4.9,34.53,0.053,0,4,0.925,5
0.165,0.118,0.193,3.892,30.88,0.79,1,3,0.004,5
0.119,0.632,0.906,2.259,31.99,0.321,1,1,0.627,0
0.482,0.405,0.053,1.68,33.32,0.137,0,0,0.215,2
0.289,0.638,0.308,1.346,32.55,0.749,0,2,0.739,6
0.405,0.226,0.288,1.036,33.31,0.036,1,1,0.796,1
0.645,0.46,0.626,4.344,33.62,0.376,1,2,0.713,1
0.25,0.152,0.131,1.908,31.89,0.616,0,2,0.996,4
0.346,0.177,0.882,0.914,29.66,0.253,0,2,0.479,6
0.553,0.338,0.829,2.667,28.43,0.423,1,3,0.561,3
0.237,0.215,0.652,3.068,35.03,0.56,1,3,0.409,2
0.146,0.117,0.458,1.595,35.7,0.762,1,1,0.974,0
0.274,0.178,0.933,1.007,29.58,0.082,1,4,0.923,2
0.197,0.033,0.831,1.689,27.12,0.126,1,3,0.987,2
0.658,0.461,0.499,3.992,28.23,0.407,1,0,0.985,2
0.585,0.325,0.702,1.187,32.71,0.335,0,1,0.895,6
0.48,0.07,0.567,3.409,27.73,0.329,1,0,0.931,3
0.623,0.12,0.588,1.488,33.8,0.238,1,2,0.12,2
0.582,0.076,0.331,1.72,35.23,0.449,1,0,0.174,1
0.212,0.402,0.462,2.647,35.64,0.707,0,3,0.885,4
0.636,0.07,0.078,1.274,26.09,0.129,0,0,0.727,5
0.424,0.493,0.357,1.614,35.58,0.172,0,2,0.875,5
0.584,0.023,0.696,2.44,33.4,0.537,0,2,0.77,2
0.638,0.17,0.953,2.349,26.84,0.045,1,3,0.14,0
0.291,0.58,0.963,4.322,30.15,0.539,0,1,0.917,1
0.166,0.47,0.556,1.151,33.0,0.252,1,4,0.771,6
0.237,0.057,0.607,4.844,35.57,0.286,0,1,0.571,2
0.356,0.536,0.186,4.636,27.64,0.324,1,4,0.532,3
0.591,0.326,0.695,4.4,27.28,0.28,0,3,0.574,2
0.616,0.552,0.071,2.254,30.72,0.673,0,3,0.39,4
0.104,0.394,0.285,4.668,35.68,0.757,0,3,0.803,5
0.406,0.446,0.668,1.659,35.71,0.438,0,2,0.909,1
0.35,0.646,0.31,1.385,28.28,0.466,0,1,0.253,4
0.233,0.159,0.05,1.011,29.19,0.056,0,4,0.038,4
0.172,0.409,0.832,5.215,35.08,0.571,1,1,0.203,6
0.303,0.305,0.31,2.248,33.35,0.467,0,4,0.757,6
0.666,0.035,0.063,5.113,35.72,0.04,1,0,0.868,3
0.294,0.019,0.075,2.081,34.93,0.159,0,1,0.349,5
0.411,0.086,0.252,5.066,28.15,0.162,1,0,0.152,2
0.522,0.425,0.178,5.048,33.6,0.137,1,3,0.859,6
0.318,0.373,0.774,5.141,26.49,0.527,0,2,0.215,4
0.683,0.364,0.322,3.132,34.18,0.743,1,2,0.242,1
0.677,0.03,0.805,4.87,32.02,0.61,1,1,0.093,6
0.251,0.31,0.174,5.269,35.56,0.382,1,0,0.91,6
0.398,0.602,0.493,2.326,35.6,0.323,1,0,0.327,2
0.281,0.264,0.688,2.769,26.51,0.309,0,4,0.172,4
0.271,0.41,0.652,4.18,27.61,0.481,1,1,0.954,5
0.122,0.509,0.601,2.212,30.84,0.287,1,1,0.336,0
0.466,0.512,0.925,4.343,34.79,0.181,0,0,0.747,6
0.402,0.342,0.229,1.147,34.14,0.482,1,0,0.23,5
0.131,0.559,0.494,3.26,35.64,0.313,0,2,0.727,6
0.267,0.26,0.884,1.375,32.18,0.011,0,1,0.232,5
0.645,0.579,0.078,2.179,28.57,0.018,0,2,0.638,0
0.244,0.164,0.056,2.016,26.25,0.219,0,3,0.441,0
0.187,0.189,0.233,4.743,28.23,0.41,0,3,0.799,6
0.394,0.044,0.633,1.71,32.75,0.283,1,0,0.73,6
0.691,0.519,0.26,4.6,35.26,0.019,1,4,0.935,6
0.245,0.277,0.19,4.532,29.21,0.179,1,0,0.377,4
0.503,0.157,0.459,3.145,34.76,0.077,1,1,0.754,3
0.557,0.158,0.614,1.899,29.95,0.759,0,0,0.969,4
0.243,0.587,0.249,1.866,29.08,0.25,1,2,0.336,1
0.537,0.544,0.301,2.985,31.09,0.012,1,0,0.29,5
0.321,0.364,0.614,0.841,30.42,0.528,0,2,0.769,5
0.479,0.404,0.946,3.297,35.14,0.186,0,3,0.446,0
0.48,0.314,0.675,5.278,30.68,0.453,0,2,0.399,5
0.421,0.261,0.783,1.527,28.77,0.121,1,1,0.546,6
0.154,0.596,0.367,3.495,34.43,0.787,0,0,0.936,6
0.601,0.09,0.272,5.32,35.99,0.776,1,1,0.084,4
0.292,0.278,0.454,4.844,32.48,0.525,1,2,0.466,0
0.212,0.231,0.807,4.797,28.5,0.566,0,2,0.11,1
0.124,0.329,0.456,4.663,28.39,0.341,1,2,0.884,3
0.455,0.303,0.847,2.252,26.58,0.77,1,2,0.137,3
0.507,0.342,0.989,4.986,26.77,0.339,1,2,0.09,3
0.11,0.1,0.072,5.224,35.15,0.192,1,0,0.964,0
0.407,0.338,0.045,3.13,26.96,0.092,1,4,0.563,4
0.236,0.165,0.15,2.466,30.84,0.167,0,1,0.826,2
0.487,0.128,0.384,2.747,32.98,0.458,1,3,0.47,1
0.205,0.051,0.131,2.371,34.5,0.196,1,3,0.436,0
0.515,0.498,0.871,1.798,27.71,0.523,1,1,0.912,1
0.332,0.284,0.023,3.707,30.38,0.306,0,0,0.99,0
0.662,0.411,0.316,3.444,28.51,0.709,1,1,0.619,3
0.183,0.476,0.185,2.974,28.56,0.447,0,2,0.918,1
0.305,0.445,0.932,1.25,29.04,0.498,0,4,0.863,2
0.168,0.311,0.669,4.545,31.87,0.445,1,1,0.544,3
0.655,0.258,0.912,1.622,26.17,0.708,0,0,0.941,3
0.626,0.251,0.972,1.338,30.09,0.051,0,2,0.21,6
0.255,0.42,0.497,3.728,27.87,0.054,0,1,0.885,2
0.496,0.327,0.234,2.674,35.67,0.561,0,1,0.309,2
0.59,0.553,0.194,1.081,31.83,0.614,1,2,0.031,3
0.433,0.57,0.223,2.471,34.68,0.347,0,0,0.787,2
0.418,0.119,0.709,4.427,27.96,0.282,0,4,0.93,5
0.245,0.097,0.04,3.692,34.1,0.222,1,4,0.217,3
0.156,0.413,0.051,2.505,30.15,0.188,0,2,0.534,4
0.638,0.203,0.608,1.701,27.78,0.73,0,3,0.749,6
0.64,0.022,0.642,3.769,33.61,0.236,0,0,0.332,0
0.48,0.579,0.665,4.972,33.62,0.518,0,3,0.147,5
0.303,0.155,0.372,3.837,35.96,0.63,0,3,0.392,4
0.31,0.605,0.806,4.621,33.81,0.018,1,3,0.457,0
0.536,0.469,0.534,3.251,27.45,0.027,1,0,0.742,0
0.638,0.498,0.105,4.174,29.23,0.267,0,3,0.199,4
0.632,0.139,0.797,5.012,30.52,0.557,0,2,0.815,6
0.568,0.16,0.953,4.434,27.27,0.209,1,1,0.502,6
0.485,0.344,0.06,5.076,33.88,0.001,1,2,0.904,0
0.15,0.12,0.391,2.826,31.27,0.231,0,1,0.566,0
0.197,0.205,0.488,5.05,35.44,0.072,1,4,0.447,5
0.639,0.216,0.146,3.721,31.89,0.176,1,3,0.287,5
0.464,0.112,0.868,4.889,31.23,0.267,1,4,0.106,3
0.106,0.141,0.284,0.985,26.71,0.102,0,4,0.372,0
0.161,0.515,0.783,3.892,27.49,0.565,0,0,0.414,6
0.498,0.117,0.671,4.785,34.5,0.205,0,3,0.568,6
0.103,0.028,0.598,1.619,35.91,0.529,1,4,0.86,2
0.196,0.413,0.192,3.91,30.15,0.479,0,1,0.464,6
0.429,0.635,0.221,4.677,34.1,0.718,1,1,0.314,0
0.515,0.222,0.047,2.153,32.28,0.07,0,0,0.873,6
0.491,0.086,0.241,2.705,35.59,0.172,0,4,0.734,1
0.235,0.375,0.345,3.477,28.38,0.692,1,4,0.307,3
0.527,0.59,0.833,3.24,31.45,0.658,0,4,0.167,3
0.242,0.512,0.366,0.984,30.09,0.154,1,0,0.291,6
0.295,0.408,0.755,1.264,31.42,0.086,0,3,0.124,0
0.548,0.212,0.439,1.272,28.69,0.685,0,4,0.903,1
0.49,0.357,0.785,2.033,30.98,0.143,1,4,0.612,5
0.61,0.068,0.976,1.956,32.25,0.697,1,2,0.864,1
0.495,0.445,0.24,4.288,26.81,0.769,0,1,0.82,3
0.441,0.474,0.862,3.492,33.43,0.177,1,3,0.153,4
0.156,0.628,0.622,4.391,33.07,0.672,0,3,0.443,6
0.321,0.177,0.817,1.129,34.8,0.339,0,3,0.972,1
0.259,0.022,0.652,3.081,30.26,0.631,0,4,0.234,0
0.246,0.359,0.424,2.322,26.62,0.326,1,2,0.05,6
0.684,0.462,0.228,4.795,30.61,0.056,1,3,0.346,5
0.336,0.516,0.07,4.127,27.38,0.57,0,0,0.511,2
0.635,0.134,0.536,4.886,32.47,0.121,0,0,0.056,4
0.479,0.178,0.99,1.018,26.47,0.742,1,1,0.427,0
0.577,0.338,0.738,4.188,29.74,0.334,0,2,0.253,0
0.402,0.222,0.327,3.338,26.83,0.066,0,3,0.212,5
0.446,0.561,0.827,4.678,26.03,0.183,1,2,0.264,4
0.396,0.313,0.769,3.184,35.61,0.69,0,0,0.105,6
0.217,0.522,0.282,3.339,35.96,0.257,1,3,0.077,5
0.533,0.382,0.014,1.043,31.56,0.685,1,4,0.596,2
0.268,0.505,0.118,3.942,28.39,0.138,1,0,0.948,4
0.115,0.223,0.877,2.084,35.11,0.375,0,1,0.805,3
0.487,0.542,0.837,0.893,35.23,0.703,1,3,0.834,0
0.206,0.186,0.295,1.112,34.55,0.039,0,1,0.735,3
0.664,0.36,0.285,5.299,31.44,0.243,1,2,0.956,3
0.672,0.147,0.793,2.427,26.75,0.728,1,1,0.951,3
0.649,0.314,0.938,4.88,26.88,0.477,0,1,0.778,2
0.322,0.214,0.779,5.31,34.97,0.573,1,4,0.716,5
0.109,0.181,0.606,5.233,34.76,0.674,1,1,0.305,0
0.657,0.629,0.243,4.944,30.34,0.419,1,4,0.091,3
0.357,0.112,0.526,5.006,29.28,0.676,0,1,0.093,3
0.68,0.514,0.234,2.158,32.44,0.511,0,4,0.736,3
0.678,0.64,0.808,1.512,34.07,0.549,0,0,0.028,1
0.612,0.023,0.387,3.805,33.32,0.122,1,4,0.816,0
0.277,0.457,0.834,3.094,32.16,0.751,1,0,0.366,3
0.331,0.172,0.382,1.264,28.32,0.637,0,0,0.192,2
0.611,0.036,0.824,3.984,28.63,0.203,1,3,0.408,6
0.29,0.268,0.333,3.445,33.24,0.464,1,0,0.703,1
0.202,0.609,0.44,4.856,34.03,0.301,0,3,0.275,1
0.434,0.018,0.615,3.663,27.16,0.528,1,4,0.174,5
0.662,0.386,0.07,3.498,27.87,0.795,1,2,0.738,4
0.518,0.331,0.948,2.872,32.8,0.037,0,3,0.881,2
0.442,0.569,0.574,2.975,29.89,0.762,1,2,0.586,4
0.158,0.064,0.508,5.286,31.63,0.058,1,4,0.524,1
0.469,0.446,0.839,1.451,32.15,0.369,1,3,0.755,4
0.694,0.445,0.866,2.897,33.76,0.386,1,4,0.733,5
0.184,0.438,0.522,3.882,34.06,0.215,1,2,0.006,4
0.411,0.613,0.927,2.835,28.8,0.453,1,4,0.282,4
0.626,0.537,0.065,2.131,31.41,0.667,1,2,0.932,3
0.544,0.037,0.113,2.151,27.24,0.235,1,0,0.96,1
0.518,0.311,0.597,1.898,34.42,0.056,1,2,0.51,4
0.521,0.265,0.354,2.416,34.45,0.506,1,2,0.56,5
0.316,0.208,0.464,4.897,29.0,0.601,1,0,0.001,2
0.276,0.299,0.328,3.175,27.61,0.764,0,3,0.672,3
0.586,0.256,0.405,1.929,26.7,0.128,1,1,0.212,1
0.586,0.287,0.823,2.607,31.75,0.721,0,3,0.128,1
0.62,0.637,0.593,1.297,26.91,0.386,1,1,0.305,6
0.648,0.067,0.997,5.049,32.81,0.189,1,0,0.665,0
0.407,0.6,0.787,2.719,32.78,0.77,1,3,0.436,1
0.401,0.317,0.274,5.408,32.14,0.191,0,4,0.349,4
0.579,0.409,0.264,2.433,34.77,0.587,1,4,0.727,0
0.49,0.541,0.336,4.731,29.78,0.628,0,3,0.814,1
0.521,0.241,0.843,2.005,35.02,0.344,1,4,0.869,3
0.577,0.285,0.027,1.158,26.37,0.552,0,0,0.445,1
0.634,0.272,0.23,0.949,27.13,0.458,1,4,0.718,5
0.303,0.25,0.905,3.649,30.12,0.154,0,4,0.885,5
0.325,0.602,0.64,2.264,31.94,0.608,0,1,0.909,6
0.156,0.541,0.227,2.885,26.32,0.742,0,1,0.492,3
0.447,0.08,0.219,4.648,31.67,0.391,1,2,0.355,1
0.122,0.079,0.863,1.966,29.07,0.795,1,0,0.9,6
0.379,0.284,0.894,2.251,34.87,0.342,0,4,0.261,1
0.426,0.073,0.256,4.773,31.33,0.384,0,0,0.797,4
0.272,0.406,0.421,3.116,31.88,0.539,0,0,0.909,1
0.454,0.102,0.835,4.69,35.46,0.149,0,1,0.74,4
0.118,0.344,0.771,2.56,33.64,0.722,1,4,0.68,6
0.122,0.015,0.814,2.672,30.38,0.641,1,2,0.051,0
0.594,0.213,0.518,1.586,30.77,0.698,1,3,0.203,6
0.316,0.443,0.912,5.107,32.48,0.488,1,2,0.667,1
0.176,0.32,0.326,5.015,28.0,0.707,0,1,0.785,5
0.413,0.636,0.157,5.426,26.89,0.544,1,2,0.063,4
0.562,0.569,0.709,2.692,29.11,0.409,1,1,0.019,3
0.229,0.24,0.539,4.647,33.78,0.745,0,1,0.312,0
0.474,0.039,0.855,2.75,28.57,0.352,0,0,0.645,0
0.151,0.551,0.081,2.935,27.31,0.4,1,4,0.512,3
0.131,0.593,0.844,4.701,28.19,0.136,0,3,0.008,0
0.419,0.535,0.293,1.634,32.79,0.758,1,1,0.152,3
0.424,0.092,0.655,1.835,32.14,0.177,1,1,0.752,2
0.482,0.649,0.04,2.279,32.88,0.161,0,0,0.298,6
0.536,0.175,0.61,4.504,29.22,0.081,1,3,0.117,4
0.686,0.473,0.717,2.551,35.01,0.363,0,1,0.051,1
0.41,0.591,0.369,2.483,30.52,0.219,1,4,0.85,0
0.294,0.161,0.215,5.494,31.14,0.593,0,4,0.472,6
0.577,0.591,0.538,2.604,35.49,0.246,0,0,0.504,2
0.262,0.208,0.833,1.965,35.79,0.577,0,1,0.061,3
0.363,0.635,0.324,3.729,32.62,0.157,0,3,0.489,1
0.147,0.19,0.252,4.569,35.45,0.184,0,0,0.646,3
0.115,0.62,0.279,1.127,31.42,0.645,0,0,0.123,3
0.678,0.044,0.949,3.709,29.07,0.297,1,2,0.903,6
0.602,0.464,0.359,0.968,29.15,0.089,0,0,0.783,3
0.518,0.351,0.004,3.274,31.59,0.769,1,2,0.802,0
0.345,0.316,0.782,2.008,32.05,0.142,0,2,0.537,2
0.204,0.153,0.699,2.241,30.4,0.12,0,1,0.334,0
0.194,0.462,0.129,2.995,34.84,0.287,0,4,0.64,1
0.25,0.132,0.985,5.157,30.27,0.077,1,3,0.225,2
0.43,0.364,0.608,4.14,28.73,0.124,0,0,0.137,1
0.529,0.172,0.501,5.203,26.08,0.677,1,1,0.538,0
0.496,0.622,0.382,3.902,35.71,0.137,1,3,0.479,5
0.268,0.028,0.899,0.833,34.24,0.089,0,0,0.15,4
0.673,0.138,0.244,2.048,32.16,0.704,0,4,0.53,4
0.543,0.165,0.286,5.057,34.31,0.355,1,4,0.546,6
0.433,0.275,0.122,3.824,34.1,0.126,0,2,0.872,6
0.467,0.159,0.759,5.414,35.32,0.465,1,2,0.759,2
0.352,0.324,0.596,1.533,29.86,0.033,0,3,0.218,4
0.249,0.568,0.609,2.195,31.55,0.342,1,0,0.818,3
0.314,0.466,0.218,2.503,26.99,0.472,1,2,0.969,4
0.555,0.381,0.651,2.335,35.65,0.766,1,1,0.717,4
0.109,0.067,0.765,1.984,35.85,0.261,0,2,0.787,3
0.17,0.454,0.358,2.884,33.89,0.612,1,3,0.266,3
0.128,0.117,0.801,3.819,30.54,0.106,1,1,0.992,1
0.124,0.513,0.349,2.263,30.97,0.347,1,4,0.176,0
0.613,0.17,0.758,1.175,30.35,0.179,0,1,0.751,2
0.522,0.277,0.034,4.13,28.93,0.394,0,3,0.395,3
0.385,0.234,0.551,2.957,31.28,0.334,1,4,0.357,2
0.159,0.56,0.97,3.415,26.53,0.784,1,0,0.285,1
0.395,0.091,0.981,2.94,35.92,0.734,1,3,0.441,6
0.384,0.372,0.282,4.985,30.24,0.466,0,2,0.791,4
0.204,0.101,0.441,3.426,35.27,0.141,1,3,0.941,0
0.36,0.461,0.063,5.139,33.24,0.446,1,3,0.416,6
0.339,0.589,0.873,3.2,28.9,0.634,0,3,0.652,6
0.47,0.288,0.569,2.175,28.22,0.03,0,4,0.788,0
0.481,0.322,0.385,2.471,35.96,0.347,1,3,0.1,3
0.127,0.604,0.113,3.254,33.72,0.034,1,0,0.961,4
0.325,0.343,0.947,3.291,28.5,0.195,0,3,0.212,0
0.476,0.322,0.53,4.03,26.67,0.074,1,2,0.915,6
0.402,0.38,0.283,1.855,32.97,0.768,0,1,0.987,2
0.614,0.451,0.35,3.897,29.03,0.135,0,4,0.1,4
0.495,0.078,0.271,4.459,28.21,0.12,0,2,0.893,6
0.198,0.536,0.602,3.98,33.35,0.778,1,0,0.641,5
0.142,0.289,0.93,3.065,32.79,0.413,1,3,0.818,6
0.485,0.056,0.857,5.461,30.81,0.606,1,4,0.109,3
0.116,0.513,0.46,2.703,35.43,0.262,0,4,0.834,2
0.451,0.251,0.826,1.301,32.8,0.426,1,4,0.626,0
0.664,0.074,0.423,4.661,34.93,0.005,0,2,0.511,2
0.445,0.416,0.252,1.797,27.91,0.327,1,1,0.56,4
0.333,0.573,0.983,4.152,28.97,0.444,1,1,0.744,6
0.486,0.578,0.304,1.641,27.05,0.412,0,0,0.298,2
0.375,0.623,0.324,0.879,29.05,0.325,1,2,0.943,6
0.427,0.565,0.99,1.551,35.72,0.63,0,2,0.308,3
0.665,0.011,0.134,2.572,35.63,0.401,0,2,0.877,0
0.332,0.253,0.761,1.301,33.6,0.509,0,3,0.012,2
0.677,0.534,0.936,1.729,31.21,0.148,1,2,0.916,2
0.643,0.244,0.512,4.394,33.81,0.689,0,2,0.852,1
0.217,0.395,0.003,4.418,31.53,0.29,1,4,0.124,4
0.142,0.398,0.375,4.642,26.04,0.386,0,4,0.737,3
0.16,0.244,0.112,4.753,31.02,0.282,0,4,0.374,0
0.111,0.589,0.416,2.776,31.99,0.714,0,2,0.48,6
0.157,0.332,0.79,4.877,28.66,0.721,0,2,0.069,2
0.51,0.307,0.439,3.272,28.03,0.179,1,4,0.213,1
0.143,0.648,0.432,3.012,28.74,0.602,0,0,0.954,4
0.291,0.326,0.557,4.177,32.24,0.082,0,0,0.418,3
0.607,0.124,0.582,1.805,27.46,0.024,1,1,0.026,1
0.114,0.338,0.856,4.511,33.2,0.669,0,3,0.515,4
0.589,0.531,0.308,2.818,30.23,0.105,0,3,0.995,5
0.269,0.507,0.822,1.398,29.53,0.124,0,1,0.333,6
0.171,0.515,0.566,1.361,34.07,0.485,1,4,0.141,0
0.518,0.463,0.301,1.575,31.06,0.653,1,4,0.644,3
0.477,0.173,0.295,4.986,29.78,0.152,1,2,0.92,0
0.626,0.562,0.361,5.457,34.78,0.091,1,3,0.859,6
0.541,0.582,0.623,2.478,29.68,0.062,1,2,0.657,4
0.582,0.134,0.231,2.173,34.59,0.02,1,2,0.184,2
0.269,0.093,0.92,1.828,31.04,0.093,0,3,0.784,2
0.206,0.634,0.575,4.672,28.08,0.754,0,4,0.823,5
0.55,0.566,0.92,1.783,32.13,0.076,1,0,0.85,2
0.584,0.582,0.046,5.143,28.85,0.478,1,4,0.404,0
0.694,0.577,0.343,3.937,27.47,0.737,0,4,0.409,0
0.348,0.357,0.023,5.017,26.87,0.502,1,2,0.155,0
0.323,0.424,0.272,3.404,28.42,0.026,1,2,0.773,2
0.566,0.359,0.862,4.046,33.37,0.477,0,2,0.737,6
0.304,0.043,0.037,3.711,34.38,0.722,1,3,0.1,4
0.658,0.487,0.436,4.707,34.62,0.258,0,3,0.02,5
0.615,0.333,0.118,4.729,28.7,0.251,0,1,0.952,2
0.357,0.425,0.417,3.572,32.61,0.199,0,2,0.017,4
0.551,0.332,0.839,3.773,28.3,0.404,1,3,0.629,4
0.553,0.325,0.623,5.133,32.23,0.19,0,1,0.454,4
0.162,0.12,0.737,5.17,34.87,0.579,1,2,0.777,3
0.642,0.188,0.349,3.922,26.41,0.516,1,2,0.088,0
0.403,0.112,0.944,0.836,35.85,0.321,1,0,0.682,4
0.596,0.135,0.709,1.291,34.27,0.578,1,3,0.615,4
0.292,0.633,0.422,4.832,33.62,0.079,1,1,0.854,4
0.637,0.108,0.426,1.198,32.91,0.6,1,2,0.519,5
0.334,0.182,0.919,1.804,33.7,0.482,1,3,0.728,0
